access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,40156.887,0.0248,131072.0,2048.0,0.0062,1.632,0.1023,1.6352,32,2,1,32,78.277120703125
write,39826.4861,0.0242,131072.0,2048.0,0.0061,1.6455,0.1182,1.6488,32,3,1,32,77.63390615234376
write,38870.1477,0.0249,131072.0,2048.0,0.0057,1.686,0.0944,1.689,32,4,1,32,75.7863328125
write,10658.8178,0.0236,131072.0,2048.0,0.0064,1.5371,0.0548,1.5406,8,0,1,32,20.77142626953125
write,11506.2554,0.0217,131072.0,2048.0,0.006,1.4239,0.0339,1.427,8,1,1,32,22.42438544921875
write,11586.2075,0.0217,131072.0,2048.0,0.0063,1.4141,0.0236,1.4174,8,2,1,32,22.57721884765625
write,11613.7128,0.0216,131072.0,2048.0,0.0061,1.4107,0.0273,1.414,8,3,1,32,22.63141015625
write,11478.0023,0.0218,131072.0,2048.0,0.0059,1.4274,0.0338,1.4305,8,4,1,32,22.369815234375
write,9566.0826,0.1944,131072.0,8192.0,0.0203,3.8536,2.623,3.8606,72,0,1,32,74.6002455078125
write,9661.3468,0.2189,131072.0,8192.0,0.014,3.8156,2.7923,3.8187,72,1,1,32,75.41835341796875
write,9984.6589,0.2071,131072.0,8192.0,0.0191,3.6921,2.7001,3.6953,72,2,1,32,77.93578564453125
write,10571.2073,0.0953,131072.0,8192.0,0.0149,3.4872,1.9629,3.4905,72,3,1,32,82.50942744140625
write,9631.0776,0.1936,131072.0,8192.0,0.0137,3.8276,2.8358,3.8308,72,4,1,32,75.18011796875
write,13512.1458,0.0559,131072.0,8192.0,0.0064,0.9094,0.0308,0.9128,24,0,1,32,105.17042724609375
write,13508.1369,0.0557,131072.0,8192.0,0.0061,0.9097,0.0319,0.9128,24,1,1,32,105.1704546875
write,13530.8619,0.0563,131072.0,8192.0,0.0058,0.9081,0.0229,0.9111,24,2,1,32,105.3623791015625
write,13520.0715,0.0559,131072.0,8192.0,0.006,0.9089,0.0286,0.912,24,3,1,32,105.26522861328125
write,13523.1223,0.0559,131072.0,8192.0,0.0059,0.9087,0.0221,0.9117,24,4,1,32,105.2964173828125
write,12533.2932,0.1688,131072.0,8192.0,0.024,3.5949,1.7622,3.6014,88,0,1,32,97.74047587890625
write,13230.965,0.158,131072.0,8192.0,0.0156,3.4053,1.7061,3.4087,88,1,1,32,103.26487138671875
write,10926.7269,0.1791,131072.0,8192.0,0.0196,4.1235,2.5398,4.1267,88,2,1,32,85.298260546875
write,10453.3647,0.1878,131072.0,8192.0,0.017,4.3102,3.2338,4.3134,88,3,1,32,81.60571943359375
write,11664.1869,0.1915,131072.0,8192.0,0.0349,3.8628,2.1253,3.866,88,4,1,32,91.05112587890625
write,9567.0816,0.187,131072.0,8192.0,0.039,5.1376,3.1481,5.1443,96,0,1,32,74.645651953125
write,11105.1616,0.2003,131072.0,8192.0,0.0276,4.426,2.3593,4.4293,96,1,1,32,86.69512392578125
write,12200.7494,0.1735,131072.0,8192.0,0.0214,4.0286,2.3429,4.0319,96,2,1,32,95.241185546875
write,11667.0863,0.1716,131072.0,8192.0,0.0231,4.2129,2.1041,4.2163,96,3,1,32,91.07610703125
write,8701.0058,0.1454,131072.0,8192.0,0.0212,5.649,4.5485,5.6522,96,4,1,32,67.93822265625
write,12883.5021,0.084,131072.0,8192.0,0.008,1.5896,0.3216,1.5944,40,0,1,32,100.34838271484375
write,12955.4397,0.085,131072.0,8192.0,0.0061,1.5808,0.282,1.5839,40,1,1,32,101.01520263671875
write,12874.6331,0.0869,131072.0,8192.0,0.0062,1.5907,0.2857,1.5939,40,2,1,32,100.38038388671875
write,12592.7322,0.0874,131072.0,8192.0,0.0059,1.6263,0.4254,1.6294,40,3,1,32,98.19535224609375
write,12708.7748,0.087,131072.0,8192.0,0.0058,1.6115,0.2884,1.6145,40,4,1,32,99.10428642578125
write,9763.2836,0.0508,131072.0,8192.0,0.0064,0.8391,0.0535,0.8425,16,0,1,32,75.96538310546875
write,10436.961,0.0481,131072.0,8192.0,0.0062,0.7849,0.039,0.7881,16,1,1,32,81.21126025390625
write,10546.8757,0.0468,131072.0,8192.0,0.006,0.7767,0.0342,0.7798,16,2,1,32,82.0674900390625
write,10578.4441,0.0468,131072.0,8192.0,0.0059,0.7744,0.0342,0.7775,16,3,1,32,82.31532353515625
write,10600.0025,0.0468,131072.0,8192.0,0.0059,0.7728,0.037,0.7759,16,4,1,32,82.4870734375
write,14528.5074,0.1331,131072.0,8192.0,0.0211,2.2554,0.7602,2.2622,64,0,1,32,113.1648265625
write,12980.1658,0.1517,131072.0,8192.0,0.0143,2.5245,0.9518,2.5278,64,1,1,32,101.27351640625
write,9387.0436,0.1001,131072.0,8192.0,0.0182,3.4908,2.2797,3.4941,64,2,1,32,73.2657564453125
write,10053.1564,0.0988,131072.0,8192.0,0.0113,3.2595,1.8052,3.2626,64,3,1,32,78.465487890625
write,12725.353,0.1473,131072.0,8192.0,0.0136,2.575,1.1234,2.5781,64,4,1,32,99.2964279296875
write,12932.8991,0.1102,131072.0,8192.0,0.0141,1.9003,0.5434,1.9073,48,0,1,32,100.668191015625
write,13495.8665,0.1082,131072.0,8192.0,0.0127,1.821,0.4991,1.8243,48,1,1,32,105.24441435546875
write,13167.5382,0.1073,131072.0,8192.0,0.0134,1.8664,0.579,1.8696,48,2,1,32,102.693285546875
write,13613.9511,0.106,131072.0,8192.0,0.0145,1.8052,0.5291,1.8085,48,3,1,32,106.16650302734375
write,12426.0603,0.1097,131072.0,8192.0,0.0113,1.9778,0.6628,1.981,48,4,1,32,96.92186953125
write,7413.417,0.0705,131072.0,8192.0,0.0065,2.21,1.1839,2.2136,32,0,1,32,57.82485263671875
write,13167.3599,0.0693,131072.0,8192.0,0.006,1.2443,0.1701,1.2474,32,1,1,32,102.61598193359374
write,13839.5348,0.0679,131072.0,8192.0,0.0058,1.1839,0.1001,1.1868,32,2,1,32,107.84995166015625
write,13517.8392,0.0703,131072.0,8192.0,0.0061,1.212,0.1217,1.2152,32,3,1,32,105.3315921875
write,6719.7941,0.1299,131072.0,8192.0,0.0062,2.4382,0.4884,2.4414,32,4,1,32,52.42962431640625
write,5176.337,0.0472,131072.0,8192.0,0.0062,0.7913,0.049,0.7946,8,0,1,32,40.2710248046875
write,5605.0239,0.0444,131072.0,8192.0,0.006,0.7308,0.0263,0.7338,8,1,1,32,43.6060521484375
write,5651.8547,0.0435,131072.0,8192.0,0.0059,0.7247,0.0289,0.7278,8,2,1,32,43.96957001953125
write,5648.0419,0.0434,131072.0,8192.0,0.0059,0.7252,0.0303,0.7283,8,3,1,32,43.9404060546875
write,5655.9817,0.0433,131072.0,8192.0,0.0059,0.7242,0.0307,0.7272,8,4,1,32,44.0014267578125
write,10434.5071,0.1294,131072.0,8192.0,0.0229,3.9254,2.4618,3.9316,80,0,1,32,81.391615234375
write,9667.6787,0.1348,131072.0,8192.0,0.0199,4.2368,2.9193,4.24,80,1,1,32,75.4721095703125
write,10569.8673,0.1456,131072.0,8192.0,0.0148,3.8752,2.1568,3.8785,80,2,1,32,82.507041796875
write,9908.9227,0.1174,131072.0,8192.0,0.015,4.1336,2.5949,4.1369,80,3,1,32,77.35353974609374
