,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,bw(GiB/s),Latency(ms),nnodes,tasks_per_node,xfer_str
116,write,483402.3196,30400.3645,0.1293,131072,16384,0.0099,1.0779,0.1154,1.0846,128,0,rw_n-4_ppn-32_tx-16M.csv,32,472.072577734375,129.3,4,32.0,16M
115,read,201642.6925,101069.4987,0.02,131072,2048,0.0063,1.2969,0.0294,1.3,64,4,rw_n-4_ppn-16_tx-2M.csv,32,196.91669189453125,20.0,4,16.0,2M
114,write,179595.2294,90009.6212,0.0222,131072,2048,0.0067,1.4562,0.11,1.4596,64,1,rw_n-4_ppn-16_tx-2M.csv,32,175.3859662109375,22.2,4,16.0,2M
113,read,7850.5638,502482.8048,0.0041,131072,16,0.0061,33.3886,0.2919,33.3917,64,2,rw_n-4_ppn-16_tx-16K.csv,32,7.6665662109375,4.1000000000000005,4,16.0,16K
112,write,7185.6592,459929.0779,0.0044,131072,16,0.0069,36.4778,0.2689,36.4816,64,0,rw_n-4_ppn-16_tx-16K.csv,32,7.0172453125,4.4,4,16.0,16K
88,write,334198.5203,167455.9061,0.0242,131072,2048,0.0064,1.5655,0.0919,1.5688,128,3,rw_n-4_ppn-32_tx-2M.csv,32,326.3657424804687,24.2,4,32.0,2M
89,read,242991.5262,121676.0494,0.0318,131072,2048,0.0063,2.1544,0.3067,2.1576,128,3,rw_n-4_ppn-32_tx-2M.csv,32,237.2964123046875,31.8,4,32.0,2M
90,write,2644.8466,169285.2001,0.0045,131072,16,0.0064,37.1648,0.2249,37.1681,24,2,rw_n-4_ppn-6_tx-16K.csv,32,2.5828580078125,4.5,4,6.0,16K
91,read,2623.4135,167913.0409,0.0046,131072,16,0.0064,37.4685,0.1899,37.4718,24,4,rw_n-4_ppn-6_tx-16K.csv,32,2.56192724609375,4.6,4,6.0,16K
92,write,14535.4214,930354.5122,0.0044,131072,16,0.0065,36.0663,0.2346,36.0697,128,3,rw_n-4_ppn-32_tx-16K.csv,32,14.1947474609375,4.4,4,32.0,16K
93,read,15266.8381,977177.7728,0.0041,131072,16,0.0069,34.3381,1.286,34.3416,128,4,rw_n-4_ppn-32_tx-16K.csv,32,14.90902158203125,4.1000000000000005,4,32.0,16K
94,write,416813.4965,208789.5174,0.0285,131072,2048,0.0068,1.8833,0.231,1.8868,192,3,rw_n-4_ppn-48_tx-2M.csv,32,407.04443017578126,28.5,4,48.0,2M
95,read,208202.4316,104196.8237,0.054,131072,2048,0.007,3.7738,0.9595,3.7772,192,4,rw_n-4_ppn-48_tx-2M.csv,32,203.322687109375,54.0,4,48.0,2M
167,read,133205.1606,133507.5348,0.0113,131072,1024,0.0065,1.4726,0.0514,1.476,48,0,rw_n-8_ppn-6_tx-1M.csv,32,130.0831646484375,11.299999999999999,8,6.0,1M
